client_id,segment,age,income,region,channel,card_type,credit_limit,issue_date,activated,activation_days
CLT00001,Массовый,20,2107.23,Минск,Отделение,Классическая,11588.3,2024-01-24,0,
CLT00002,Массовый,45,888.23,Минск,Интернет-банк,Классическая,4269.51,2023-06-17,1,14.0
CLT00003,Массовый+,53,4591.6,Минск,Мобильное приложение,Золотая,11057.25,2023-02-14,1,5.0
CLT00004,Массовый,18,1296.06,Минская область,Интернет-банк,Классическая,5025.05,2023-02-07,0,
CLT00005,Массовый,43,1621.03,Витебская область,Интернет-банк,Классическая,6904.38,2023-11-19,1,29.0
CLT00006,Массовый+,41,4020.35,Минская область,Отделение,Золотая,16412.82,2024-03-05,1,2.0
CLT00007,Массовый+,45,3135.13,Витебская область,Отделение,Золотая,8403.74,2023-12-12,0,
CLT00008,Премиум,53,12394.74,Гродненская область,Мобильное приложение,Золотая,53852.75,2024-01-08,1,12.0
CLT00009,Private,47,62559.8,Брестская область,Отделение,Привилегия,373305.11,2023-08-27,1,6.0
CLT00010,Массовый,35,1555.65,Брестская область,Мобильное приложение,Классическая,3949.66,2023-07-17,1,26.0
CLT00011,Массовый,26,2422.94,Гродненская область,Мобильное приложение,Классическая,10831.36,2024-06-06,1,3.0
CLT00012,Массовый,18,2152.75,Минская область,Интернет-банк,Классическая,9774.29,2023-01-30,0,
CLT00013,Массовый,33,856.15,Гродненская область,Мобильное приложение,Классическая,1793.78,2023-06-17,0,
CLT00014,Массовый,40,2278.53,Минск,Интернет-банк,Классическая,11339.0,2023-02-28,0,
CLT00015,Массовый,27,1048.44,Гродненская область,Отделение,Классическая,5351.8,2024-02-03,1,18.0
CLT00016,Private,51,29565.3,Минск,Интернет-банк,Привилегия,66469.39,2023-05-20,1,1.0
CLT00017,Массовый,45,2055.36,Брестская область,Интернет-банк,Классическая,7819.81,2024-03-15,0,
CLT00018,Массовый,34,1352.26,Минская область,Интернет-банк,Классическая,4562.91,2023-04-18,0,
CLT00019,Массовый,36,1378.14,Минск,Интернет-банк,Классическая,3876.83,2023-11-26,1,2.0
CLT00020,Премиум,32,19385.77,Минская область,Отделение,Золотая,53827.56,2023-08-25,1,11.0
CLT00021,Массовый,35,1714.06,Гомельская область,Отделение,Классическая,7090.61,2024-05-10,0,
CLT00022,Массовый,18,1236.65,Витебская область,Интернет-банк,Классическая,4877.94,2024-02-10,0,
CLT00023,Массовый+,54,2941.37,Гродненская область,Отделение,Золотая,9922.94,2023-05-06,0,
CLT00024,Массовый,32,1415.13,Гродненская область,Мобильное приложение,Классическая,4860.52,2024-04-04,1,25.0
CLT00025,Массовый,23,1450.04,Витебская область,Отделение,Классическая,5077.08,2023-09-29,0,
CLT00026,Массовый,35,1439.89,Минск,Мобильное приложение,Классическая,8110.69,2024-05-29,0,
